,Country,Indicator,Year,Amount
1510,Germany,RD&D per thousand units of GDP,1980,1.093
379,Belgium,RD&D per thousand units of GDP,1977,1.098
1509,Germany,RD&D per thousand units of GDP,1979,1.099
3242,Norway,RD&D per thousand units of GDP,2020,1.105
2080,Italy,RD&D per thousand units of GDP,1986,1.106
2221,Japan,RD&D per thousand units of GDP,1986,1.111
2219,Japan,RD&D per thousand units of GDP,1984,1.113
2220,Japan,RD&D per thousand units of GDP,1985,1.115
668,Canada,RD&D per thousand units of GDP,1984,1.122
3237,Norway,RD&D per thousand units of GDP,2015,1.125
667,Canada,RD&D per thousand units of GDP,1983,1.125
1263,Finland,RD&D per thousand units of GDP,2015,1.13
1261,Finland,RD&D per thousand units of GDP,2013,1.144
1260,Finland,RD&D per thousand units of GDP,2012,1.157
1511,Germany,RD&D per thousand units of GDP,1981,1.16
2218,Japan,RD&D per thousand units of GDP,1983,1.163
3233,Norway,RD&D per thousand units of GDP,2011,1.166
2075,Italy,RD&D per thousand units of GDP,1981,1.174
4468,United States,RD&D per thousand units of GDP,1977,1.183
2217,Japan,RD&D per thousand units of GDP,1982,1.197
2079,Italy,RD&D per thousand units of GDP,1985,1.205
2215,Japan,RD&D per thousand units of GDP,1980,1.208
3236,Norway,RD&D per thousand units of GDP,2014,1.224
2216,Japan,RD&D per thousand units of GDP,1981,1.232
376,Belgium,RD&D per thousand units of GDP,1974,1.262
1257,Finland,RD&D per thousand units of GDP,2009,1.284
1259,Finland,RD&D per thousand units of GDP,2011,1.286
4469,United States,RD&D per thousand units of GDP,1978,1.302
378,Belgium,RD&D per thousand units of GDP,1976,1.329
2078,Italy,RD&D per thousand units of GDP,1984,1.332
3908,Sweden,RD&D per thousand units of GDP,1981,1.333
4471,United States,RD&D per thousand units of GDP,1980,1.37
4470,United States,RD&D per thousand units of GDP,1979,1.386
3232,Norway,RD&D per thousand units of GDP,2010,1.403
1258,Finland,RD&D per thousand units of GDP,2010,1.43
377,Belgium,RD&D per thousand units of GDP,1975,1.456
1512,Germany,RD&D per thousand units of GDP,1982,1.478
2670,Luxembourg,RD&D per thousand units of GDP,2012,1.62
3241,Norway,RD&D per thousand units of GDP,2019,1.685
1122,Estonia,RD&D per thousand units of GDP,2015,1.902
1120,Estonia,RD&D per thousand units of GDP,2013,2.084
1121,Estonia,RD&D per thousand units of GDP,2014,2.178
1123,Estonia,RD&D per thousand units of GDP,2016,2.581
